SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
M7471,4,1471,0.00204239119387102,0.4885,1000,0.0349250842868588,0.0441617064618064,0.510597798467754,0.360873863528866
M5955,3,1955,0.00216932919011129,0.486,1000,0.0349250842868588,0.0440537922418071,0.529104680514948,0.357614200567923
M5736,3,1736,0.00231383949612552,0.497,1000,0.0349250842868588,0.0439384885512586,0.550914165744172,-0.35681235944287
M2167,2,167,0.00247755297464005,0.4955,1000,0.0349250842868588,0.0438163935253886,0.576175110381407,-0.355143774185649
M5977,3,1977,0.00254478326175302,0.4865,1000,0.0349250842868588,0.0437686133763207,0.578359832216596,0.353796929410407
M6213,4,213,0.00271673267812869,0.479,1000,0.0349250842868588,0.0436520214048229,0.597715686758023,0.348371502396901
M1020,1,1020,0.00280056813049071,0.4895,1000,0.0349250842868588,0.043597870859006,0.597715686758023,-0.345154298591467
M2543,2,543,0.00280926372776271,0.483,1000,0.0349250842868588,0.0435923489066781,0.597715686758023,-0.350138516142636
M7495,4,1495,0.0029896398640316,0.479,1000,0.0349250842868588,0.043481567038742,0.612184184712913,0.342790756028194
M6424,4,424,0.00299970250509327,0.496,1000,0.0349250842868588,0.0434755887274971,0.612184184712913,-0.347157538970691
M6989,4,989,0.00371946847136476,0.497,1000,0.0349250842868588,0.043093702691979,0.743893694272953,-0.335078586699012
M5896,3,1896,0.00380881469785201,0.4705,1000,0.0349250842868588,0.0430516466276243,0.746826411343531,-0.348462946729398
M1741,1,1741,0.00395498755713042,0.499,1000,0.0349250842868588,0.042984963269351,0.754690626711528,-0.33261877976679
M4016,3,16,0.0039998603215711,0.4955,1000,0.0349250842868588,0.0429649956961727,0.754690626711528,0.341860886745621
M2749,2,749,0.00412149165775971,0.497,1000,0.0349250842868588,0.0429119993516998,0.763239195881428,-0.340369352734172
M4009,3,9,0.00446603986335408,0.4875,1000,0.0349250842868588,0.0427701127383325,0.81200724788256,0.338406120779041
M9327,5,1327,0.0045770592338344,0.479,1000,0.0349250842868588,0.0427267639937288,0.817332006041858,0.327641225167326
M6209,4,209,0.00469018028610645,0.489,1000,0.0349250842868588,0.042683684247987,0.822838646685341,0.328254030828646
M1795,1,1795,0.00487720404082535,0.491,1000,0.0349250842868588,0.0426147339447011,0.840897248418164,-0.327858374677817
M8951,5,951,0.00510400852035117,0.495,1000,0.0349250842868588,0.0425346507339249,0.856758270519384,0.32950467505708
M8964,5,964,0.00519270153802608,0.49,1000,0.0349250842868588,0.0425043176920087,0.856758270519384,-0.329310868923756
M133,1,133,0.00522622545016824,0.484,1000,0.0349250842868588,0.04249299005331,0.856758270519384,0.331796891560828
M4456,3,456,0.00539399142470908,0.496,1000,0.0349250842868588,0.0424373947598231,0.867015013432787,0.326297188815147
M7989,4,1989,0.00546219458462656,0.49,1000,0.0349250842868588,0.0424152963923526,0.867015013432787,-0.325420029943928
M573,1,573,0.00561938701555474,0.4825,1000,0.0349250842868588,0.0423654199488396,0.878029221180428,0.322515368325071
M981,1,981,0.00577610630475893,0.4915,1000,0.0349250842868588,0.0423170928541781,0.878998580302684,-0.32146731677085
M7624,4,1624,0.00580139062999771,0.5,1000,0.0349250842868588,0.0423094217020649,0.878998580302684,0.323774091706525
M8131,5,131,0.00605928135441383,0.4915,1000,0.0349250842868588,0.0422330750927519,0.880700690252711,-0.315242479288372
M4150,3,150,0.00606186312762473,0.4945,1000,0.0349250842868588,0.0422323276832675,0.880700690252711,0.317971431907722
M9984,5,1984,0.00616444124434024,0.4935,1000,0.0349250842868588,0.042202892231413,0.880700690252711,-0.325182460993972
M2711,2,711,0.00626436514446963,0.4955,1000,0.0349250842868588,0.0421746960096906,0.880700690252711,0.316066924356278
M4076,3,76,0.00631738234959405,0.491,1000,0.0349250842868588,0.0421599219249048,0.880700690252711,-0.316881250745439
M6762,4,762,0.00634104496981952,0.5,1000,0.0349250842868588,0.0421533688332552,0.880700690252711,-0.322968314906859
M1474,1,1474,0.00657465897474523,0.4985,1000,0.0349250842868588,0.042089982664076,0.88856545645503,0.322600783066207
M6236,4,236,0.006608030869085,0.491,1000,0.0349250842868588,0.042081116410058,0.88856545645503,-0.322683227402479
M6432,4,432,0.00666424092341273,0.477,1000,0.0349250842868588,0.0420662855463525,0.88856545645503,-0.317071646052
M4348,3,348,0.00700891784677853,0.4955,1000,0.0349250842868588,0.0419780516753608,0.902458048553411,0.320063507296311
M1002,1,1002,0.00701106985305846,0.482,1000,0.0349250842868588,0.0419775148416446,0.902458048553411,-0.312387915171087
M3653,2,1653,0.0070391727787166,0.487,1000,0.0349250842868588,0.0419705198002854,0.902458048553411,0.318279074969951
M1546,1,1546,0.00722461542011283,0.486,1000,0.0349250842868588,0.0419250662078158,0.914508281026941,-0.316617848760529
M7931,4,1931,0.00750960703663086,0.492,1000,0.0349250842868588,0.0418574897458643,0.938700879578857,0.310916718971555
M3511,2,1511,0.00762932220451121,0.4865,1000,0.0349250842868588,0.0418298829186532,0.941891630186569,-0.313532881332321
M7443,4,1443,0.00839420721478853,0.4995,1000,0.0349250842868588,0.041663337470175,0.999991219874902,0.309169500518465
M568,1,568,0.00856330831964335,0.495,1000,0.0349250842868588,0.0416286204557292,0.999991219874902,0.308970791897593
M3406,2,1406,0.00858981028926209,0.4985,1000,0.0349250842868588,0.0416232432890362,0.999991219874902,0.312295607037186
M2891,2,891,0.00863872057691994,0.498,1000,0.0349250842868588,0.0416133640559873,0.999991219874902,-0.308660830711233
M5514,3,1514,0.00866412726085961,0.492,1000,0.0349250842868588,0.0416082548481622,0.999991219874902,-0.30897386154146
M4322,3,322,0.00889272597101956,0.4955,1000,0.0349250842868588,0.0415629635335297,0.999991219874902,0.30317887106122
M5817,3,1817,0.00914380082191364,0.494,1000,0.0349250842868588,0.0415145749659699,0.999991219874902,-0.299964463897709
M8933,5,933,0.0092288658123496,0.475,1000,0.0349250842868588,0.0414984893121605,0.999991219874902,0.303741758999308
M4332,3,332,0.00941022066213614,0.49,1000,0.0349250842868588,0.0414646973456568,0.999991219874902,0.305642294566553
M6092,4,92,0.00942102058191562,0.497,1000,0.0349250842868588,0.0414627061206583,0.999991219874902,0.306127234290273
M3276,2,1276,0.00958780146545461,0.478,1000,0.0349250842868588,0.0414322499912482,0.999991219874902,0.296284139827947
M8426,5,426,0.00966239386831419,0.495,1000,0.0349250842868588,0.0414188040900579,0.999991219874902,-0.304113974885752
M3996,2,1996,0.00970473333921954,0.498,1000,0.0349250842868588,0.0414112193652062,0.999991219874902,0.302192251358292
M6946,4,946,0.00978361900130637,0.48,1000,0.0349250842868588,0.0413971778909294,0.999991219874902,0.301489085584649
M238,1,238,0.00984205356414193,0.479,1000,0.0349250842868588,0.041386851391814,0.999991219874902,-0.302194629406131
M869,1,869,0.0100586329717418,0.4895,1000,0.0349250842868588,0.0413491191455282,0.999991219874902,-0.300089036104964
M9076,5,1076,0.0101176396913848,0.497,1000,0.0349250842868588,0.0413389835816113,0.999991219874902,-0.302102133738629
M2650,2,650,0.0104172821797785,0.4895,1000,0.0349250842868588,0.0412884334261628,0.999991219874902,0.299031475261188
M7909,4,1909,0.0105341983042719,0.4925,1000,0.0349250842868588,0.0412691133779109,0.999991219874902,0.302667831873578
M6197,4,197,0.0106804396146284,0.493,1000,0.0349250842868588,0.0412452551852678,0.999991219874902,-0.300699183953498
M3814,2,1814,0.0109221384540761,0.498,1000,0.0349250842868588,0.0412065501256019,0.999991219874902,0.29826826650077
M8536,5,536,0.0109545974197513,0.4825,1000,0.0349250842868588,0.0412014193711601,0.999991219874902,-0.299713401944473
M7800,4,1800,0.0110912785960423,0.48,1000,0.0349250842868588,0.0411799843890438,0.999991219874902,-0.297871644980205
M1805,1,1805,0.0112318923227436,0.4865,1000,0.0349250842868588,0.0411582141757477,0.999991219874902,-0.29327660461621
M5419,3,1419,0.0112844291100212,0.4855,1000,0.0349250842868588,0.0411501520941849,0.999991219874902,-0.299066564747761
M489,1,489,0.0114543840233411,0.493,1000,0.0349250842868588,0.0411243333690768,0.999991219874902,0.299345330435358
M2966,2,966,0.0115452305105988,0.4945,1000,0.0349250842868588,0.0411106934801582,0.999991219874902,0.299139750903691
M7511,4,1511,0.0115912313985286,0.499,1000,0.0349250842868588,0.0411038288378012,0.999991219874902,-0.300264319254495
M1094,1,1094,0.011714154774525,0.488,1000,0.0349250842868588,0.0410856217357722,0.999991219874902,0.29509229746634
M5333,3,1333,0.0117593039175732,0.4695,1000,0.0349250842868588,0.0410789836523104,0.999991219874902,0.299753681380309
M136,1,136,0.0117622618774433,0.475,1000,0.0349250842868588,0.0410785496715822,0.999991219874902,-0.299968825821054
M3775,2,1775,0.0118137844399686,0.495,1000,0.0349250842868588,0.0410710084285069,0.999991219874902,0.294336990716431
M968,1,968,0.0121894764101795,0.487,1000,0.0349250842868588,0.0410170212174504,0.999991219874902,0.288930515491927
M3620,2,1620,0.0123922199971135,0.4985,1000,0.0349250842868588,0.0409885936785057,0.999991219874902,-0.289405346640081
M6206,4,206,0.0124388502312587,0.499,1000,0.0349250842868588,0.0409821231615761,0.999991219874902,-0.295921058461886
M1799,1,1799,0.0126318138338697,0.495,1000,0.0349250842868588,0.0409556099104144,0.999991219874902,0.292710723956588
M2255,2,255,0.0128073675944978,0.498,1000,0.0349250842868588,0.0409318484724668,0.999991219874902,0.291141270071932
M2525,2,525,0.0128410380777219,0.488,1000,0.0349250842868588,0.0409273294665503,0.999991219874902,0.296247133252223
M9765,5,1765,0.0129144603580084,0.4985,1000,0.0349250842868588,0.0409175174263685,0.999991219874902,-0.287821193862555
M2137,2,137,0.0129734948518916,0.495,1000,0.0349250842868588,0.0409096697138404,0.999991219874902,0.29171679467953
M8889,5,889,0.0130471856759566,0.4905,1000,0.0349250842868588,0.0408999251083147,0.999991219874902,-0.292666086116469
M2210,2,210,0.0130952974013007,0.4835,1000,0.0349250842868588,0.0408935935212699,0.999991219874902,0.291112640460994
M5493,3,1493,0.0132020337710033,0.5,1000,0.0349250842868588,0.040879631935102,0.999991219874902,-0.285188916649531
M1525,1,1525,0.0132239659181288,0.492,1000,0.0349250842868588,0.0408767775140303,0.999991219874902,-0.2927439229681
M9962,5,1962,0.0133927945743447,0.4875,1000,0.0349250842868588,0.0408549667098438,0.999991219874902,0.292482802442066
M8991,5,991,0.0136301635367501,0.48,1000,0.0349250842868588,0.0408247755775266,0.999991219874902,0.288494458812579
M435,1,435,0.0136557412643663,0.4845,1000,0.0349250842868588,0.0408215547068916,0.999991219874902,0.290628908409758
M4902,3,902,0.0139787939745662,0.4905,1000,0.0349250842868588,0.0407814011714315,0.999991219874902,-0.288819695468817
M7518,4,1518,0.0140625220629676,0.47,1000,0.0349250842868588,0.0407711502677193,0.999991219874902,-0.282441979367889
M2583,2,583,0.0143092187847974,0.484,1000,0.0349250842868588,0.0407413087822109,0.999991219874902,-0.291932077368699
M7955,4,1955,0.0143955203320659,0.482,1000,0.0349250842868588,0.0407309944416179,0.999991219874902,-0.292111378901552
M7200,4,1200,0.0144606062543377,0.4855,1000,0.0349250842868588,0.0407232577710208,0.999991219874902,-0.289148945423392
M5723,3,1723,0.0144619932145057,0.4915,1000,0.0349250842868588,0.0407230932959979,0.999991219874902,0.284129943800792
M3119,2,1119,0.0144701221383533,0.4975,1000,0.0349250842868588,0.0407221296406775,0.999991219874902,0.288976784144893
M5523,3,1523,0.0146256814240789,0.4965,1000,0.0349250842868588,0.040703795417337,0.999991219874902,-0.287588117757423
M5758,3,1758,0.014681619720273,0.4935,1000,0.0349250842868588,0.0406972516407099,0.999991219874902,0.286038800118149
M1021,1,1021,0.015077477420017,0.495,1000,0.0349250842868588,0.0406516655582086,0.999991219874902,-0.284006903495026
M9838,5,1838,0.0150805872822776,0.479,1000,0.0349250842868588,0.0406513123412543,0.999991219874902,0.287741341640583
M2946,2,946,0.0151179690729766,0.492,1000,0.0349250842868588,0.0406470724026241,0.999991219874902,0.285718513066797
M3557,2,1557,0.015250893781458,0.485,1000,0.0349250842868588,0.0406320828694536,0.999991219874902,0.289375143747122
M7734,4,1734,0.0153232442266949,0.4975,1000,0.0349250842868588,0.0406239806702859,0.999991219874902,-0.280625666246181
M5792,3,1792,0.0153889504061502,0.4995,1000,0.0349250842868588,0.0406166566620387,0.999991219874902,-0.286874159700801
M260,1,260,0.0154174708498975,0.4825,1000,0.0349250842868588,0.0406134876383296,0.999991219874902,-0.282835582543953
M5693,3,1693,0.0155125403203902,0.4895,1000,0.0349250842868588,0.0406029676029506,0.999991219874902,0.277685842178187
M3797,2,1797,0.0155448512567855,0.481,1000,0.0349250842868588,0.0405994073374851,0.999991219874902,-0.289463772624288
M4106,3,106,0.0155544485470675,0.4965,1000,0.0349250842868588,0.0405983513058701,0.999991219874902,-0.281807621093435
M614,1,614,0.0157972357721486,0.4995,1000,0.0349250842868588,0.0405718577547917,0.999991219874902,0.283231387520971
M323,1,323,0.0160031269469734,0.497,1000,0.0349250842868588,0.0405497176822284,0.999991219874902,-0.284725600819968
M1271,1,1271,0.0162459134930955,0.4705,1000,0.0349250842868588,0.0405239849507623,0.999991219874902,0.277271866273622
M977,1,977,0.0162742290949319,0.474,1000,0.0349250842868588,0.0405210096945301,0.999991219874902,-0.279609192776832
M7528,4,1528,0.0164602896317261,0.4915,1000,0.0349250842868588,0.0405015914178278,0.999991219874902,-0.281644829456638
M9086,5,1086,0.0168630437783848,0.4865,1000,0.0349250842868588,0.0404603231408253,0.999991219874902,-0.277614205787017
M4547,3,547,0.0168970173972267,0.4795,1000,0.0349250842868588,0.0404568887155518,0.999991219874902,0.281050777443511
M8736,5,736,0.0169454229347782,0.4875,1000,0.0349250842868588,0.0404520076591576,0.999991219874902,-0.281842822282499
M2953,2,953,0.0169485417931351,0.497,1000,0.0349250842868588,0.0404516936578674,0.999991219874902,-0.281021119790978
M5345,3,1345,0.017023308469728,0.456,1000,0.0349250842868588,0.0404441840966639,0.999991219874902,-0.274491671196301
M454,1,454,0.0172037566555321,0.4855,1000,0.0349250842868588,0.0404261993834854,0.999991219874902,-0.279763826317378
M4933,3,933,0.0172519436826405,0.4945,1000,0.0349250842868588,0.0404214297062592,0.999991219874902,0.27970935854745
M8378,5,378,0.017506952188283,0.499,1000,0.0349250842868588,0.0403964153905491,0.999991219874902,-0.277226088611314
M6017,4,17,0.0177186290770282,0.4965,1000,0.0349250842868588,0.0403759360034776,0.999991219874902,-0.277367370402544
M7063,4,1063,0.0181315758298303,0.492,1000,0.0349250842868588,0.0403367023146299,0.999991219874902,-0.277123015562324
M47,1,47,0.0181359472113643,0.4855,1000,0.0349250842868588,0.0403362919542096,0.999991219874902,0.280017436200808
M2450,2,450,0.0181917334289398,0.494,1000,0.0349250842868588,0.0403310640268656,0.999991219874902,-0.280602450444349
M4239,3,239,0.018363932851754,0.4715,1000,0.0349250842868588,0.0403150305818636,0.999991219874902,-0.27460724563241
M4061,3,61,0.0185085434922792,0.494,1000,0.0349250842868588,0.040301685616207,0.999991219874902,-0.272943930140968
M2992,2,992,0.0185344629209019,0.4935,1000,0.0349250842868588,0.0402993051221254,0.999991219874902,0.273199083732209
M3514,2,1514,0.0186501605229745,0.479,1000,0.0349250842868588,0.0402887210496353,0.999991219874902,0.285117131291656
M1613,1,1613,0.0186947176964078,0.495,1000,0.0349250842868588,0.0402846630473337,0.999991219874902,-0.276501623448837
M1188,1,1188,0.0188131576317875,0.4975,1000,0.0349250842868588,0.0402739247145913,0.999991219874902,-0.27889904696309
M1151,1,1151,0.0189776557670006,0.4925,1000,0.0349250842868588,0.0402591260222963,0.999991219874902,-0.271980644205769
M18,1,18,0.019031427272986,0.4995,1000,0.0349250842868588,0.040254317371045,0.999991219874902,0.274818915635365
M3316,2,1316,0.0190853717312326,0.486,1000,0.0349250842868588,0.0402495073633087,0.999991219874902,-0.279970375180653
M6695,4,695,0.0192172244306471,0.4835,1000,0.0349250842868588,0.0402378095831052,0.999991219874902,0.269123076278618
M9177,5,1177,0.0192313871122549,0.4915,1000,0.0349250842868588,0.0402365580350864,0.999991219874902,0.268613270533422
M4443,3,443,0.0193066726831571,0.491,1000,0.0349250842868588,0.0402299210695507,0.999991219874902,-0.26700374840226
M6793,4,793,0.0193404144126614,0.4865,1000,0.0349250842868588,0.0402269551835123,0.999991219874902,-0.274465726096082
M4477,3,477,0.0197937873620974,0.488,1000,0.0349250842868588,0.0401876155323405,0.999991219874902,0.274925218706301
M1977,1,1977,0.0200998168785386,0.4855,1000,0.0349250842868588,0.0401615850544926,0.999991219874902,0.268886567397033
M1789,1,1789,0.0201215338170275,0.4915,1000,0.0349250842868588,0.0401597534674427,0.999991219874902,0.270328405605142
M3436,2,1436,0.0203292416456201,0.4815,1000,0.0349250842868588,0.0401423383432313,0.999991219874902,0.274378529174271
M1174,1,1174,0.0204815521313649,0.4825,1000,0.0349250842868588,0.0401296847369252,0.999991219874902,0.269990140416439
M9722,5,1722,0.0207233404419607,0.4885,1000,0.0349250842868588,0.0401097964381502,0.999991219874902,-0.274087796432411
M6192,4,192,0.0207425022828986,0.4885,1000,0.0349250842868588,0.0401082305787983,0.999991219874902,0.268112286188511
M6803,4,803,0.0208084363106848,0.4975,1000,0.0349250842868588,0.0401028540420009,0.999991219874902,0.265150191791349
M3558,2,1558,0.0208154864271159,0.494,1000,0.0349250842868588,0.0401022801913179,0.999991219874902,0.268804404412208
M9800,5,1800,0.0210423823178597,0.489,1000,0.0349250842868588,0.0400839185933826,0.999991219874902,0.272169532549697
M1052,1,1052,0.0211757548113135,0.487,1000,0.0349250842868588,0.0400732209406022,0.999991219874902,0.273206865754844
M209,1,209,0.0211929845745505,0.484,1000,0.0349250842868588,0.0400718440589818,0.999991219874902,0.266439347776043
M476,1,476,0.0212574458963696,0.4835,1000,0.0349250842868588,0.0400667030375914,0.999991219874902,0.269690043730918
M9779,5,1779,0.0212861297669392,0.485,1000,0.0349250842868588,0.040064420590901,0.999991219874902,0.272112260286292
M7911,4,1911,0.0213836352812408,0.4915,1000,0.0349250842868588,0.0400566856148056,0.999991219874902,0.270643574040491
M2208,2,208,0.0214293105973909,0.498,1000,0.0349250842868588,0.0400530748265687,0.999991219874902,0.267568339819547
M2247,2,247,0.0216444927993112,0.4935,1000,0.0349250842868588,0.0400361706344052,0.999991219874902,0.270797306885072
M1191,1,1191,0.0218183843968387,0.497,1000,0.0349250842868588,0.0400226369937068,0.999991219874902,0.273230575721755
M8510,5,510,0.0218242270032894,0.4825,1000,0.0349250842868588,0.0400221842201538,0.999991219874902,0.2656409537679
M1171,1,1171,0.0218523686197491,0.4975,1000,0.0349250842868588,0.0400200051419141,0.999991219874902,-0.270073842095314
M2755,2,755,0.0219672364960909,0.4885,1000,0.0349250842868588,0.0400111407176614,0.999991219874902,0.27122590847614
M5699,3,1699,0.0221091795050023,0.491,1000,0.0349250842868588,0.0400002530849316,0.999991219874902,-0.262393327026984
M4293,3,293,0.0224327068793309,0.496,1000,0.0349250842868588,0.039975705839228,0.999991219874902,-0.266937974295843
M9042,5,1042,0.0224356405196012,0.483,1000,0.0349250842868588,0.0399754849374707,0.999991219874902,-0.272714632603481
M9684,5,1684,0.0226222638807784,0.4775,1000,0.0349250842868588,0.0399614935568299,0.999991219874902,0.264065674324684
M7594,4,1594,0.0230375235054338,0.494,1000,0.0349250842868588,0.0399307862411308,0.999991219874902,-0.262580312825776
M1229,1,1229,0.0233908478490425,0.499,1000,0.0349250842868588,0.0399051080583088,0.999991219874902,0.262931001133438
M4905,3,905,0.0233910856923952,0.4955,1000,0.0349250842868588,0.0399050909088263,0.999991219874902,-0.267530166312554
M2505,2,505,0.0236842937821814,0.4875,1000,0.0349250842868588,0.0398840859842082,0.999991219874902,0.266710429233342
M1849,1,1849,0.0237503271191779,0.4965,1000,0.0349250842868588,0.0398793927419977,0.999991219874902,-0.264363223637417
M7969,4,1969,0.0238601953662939,0.4965,1000,0.0349250842868588,0.039871613947391,0.999991219874902,-0.259218922056959
M6700,4,700,0.0239257612623402,0.485,1000,0.0349250842868588,0.0398669895204968,0.999991219874902,-0.260650722419371
M1475,1,1475,0.0242703100047442,0.488,1000,0.0349250842868588,0.0398429025899589,0.999991219874902,0.267597037039707
M3184,2,1184,0.0244719760804685,0.476,1000,0.0349250842868588,0.0398289687205929,0.999991219874902,0.262644637619644
M8320,5,320,0.0245551680281914,0.498,1000,0.0349250842868588,0.0398232554161213,0.999991219874902,0.264244498854396
M7419,4,1419,0.0245902736437943,0.49,1000,0.0349250842868588,0.0398208505315072,0.999991219874902,0.26567272794108
M174,1,174,0.0246474191697924,0.488,1000,0.0349250842868588,0.0398169434425673,0.999991219874902,-0.263822071432685
M7977,4,1977,0.0247088705047228,0.488,1000,0.0349250842868588,0.0398127524569306,0.999991219874902,-0.260092200681584
M4302,3,302,0.0248459380609316,0.4925,1000,0.0349250842868588,0.0398034433523522,0.999991219874902,0.267340561790036
M7628,4,1628,0.0249913500309805,0.4955,1000,0.0349250842868588,0.0397936257226646,0.999991219874902,0.260025541938546
M7051,4,1051,0.0251544478830676,0.4965,1000,0.0349250842868588,0.03978268444894,0.999991219874902,0.258719083458118
M3799,2,1799,0.0252564187235122,0.4975,1000,0.0349250842868588,0.0397758812471251,0.999991219874902,0.259817257032921
M2152,2,152,0.0252660419252884,0.4895,1000,0.0349250842868588,0.0397752406905768,0.999991219874902,0.254500833336294
M7249,4,1249,0.0253402403600778,0.499,1000,0.0349250842868588,0.0397703102684995,0.999991219874902,0.25984756319707
M8914,5,914,0.0256191397835248,0.467,1000,0.0349250842868588,0.0397519110242033,0.999991219874902,-0.260274421925715
M6466,4,466,0.0257685497657148,0.49,1000,0.0349250842868588,0.0397421398461517,0.999991219874902,-0.260124917145561
M8329,5,329,0.0260249192734471,0.491,1000,0.0349250842868588,0.0397255102509018,0.999991219874902,0.265089753004759
M2787,2,787,0.0263858667319214,0.483,1000,0.0349250842868588,0.0397023838846858,0.999991219874902,-0.253739250069714
M5931,3,1931,0.0264857699450641,0.4875,1000,0.0349250842868588,0.0396960411236825,0.999991219874902,0.257409353397577
M464,1,464,0.026635624978418,0.492,1000,0.0349250842868588,0.0396865735204734,0.999991219874902,0.260834747883678
M9289,5,1289,0.0272131563347744,0.498,1000,0.0349250842868588,0.0396505977345567,0.999991219874902,-0.266272999641899
M1495,1,1495,0.0272854614786426,0.4925,1000,0.0349250842868588,0.0396461497780598,0.999991219874902,-0.25596601841039
M7694,4,1694,0.0273669749660847,0.4895,1000,0.0349250842868588,0.039641150056955,0.999991219874902,-0.257731375728724
M9963,5,1963,0.0276281281436276,0.4855,1000,0.0349250842868588,0.0396252357867999,0.999991219874902,-0.263880993031478
M5772,3,1772,0.0277331930891574,0.5,1000,0.0349250842868588,0.0396188774573971,0.999991219874902,-0.261604068545182
